Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.8005754600924544,0.7411494080903668,167.41414160697417,1732.91
A,Class Weights,0.8005754600924544,0.7321812381328733,167.41414160697417,494.34
A,SMOTE,0.7986910355748299,0.7331168210908396,167.41414160697417,522.82
A,Focal Loss,0.8005754600924544,0.7321812381328733,167.41414160697417,379.63
A,Threshold Opt.,0.8000303762153993,0.7401795735129069,167.41414160697417,318.31
B,Baseline,0.7879557415017027,0.2248299319727891,20.70056822935983,180.65
B,Class Weights,0.7836489175955896,0.31837135148393425,20.689162350369084,185.33
B,SMOTE,0.741759202248163,0.31976384979748745,20.683766142029885,509.27
B,Focal Loss,0.7836489175955896,0.31837135148393425,20.689162350369084,185.25
B,Threshold Opt.,0.7759644441209411,0.21201208459214502,20.69216206944527,160.81
C,Baseline,0.7077585400960088,0.03671497584541063,4.310034172795772,172.64
C,Class Weights,0.7097192721616603,0.09131075110456553,4.302548885530839,166.28
C,SMOTE,0.694351570541236,0.098308515252277,4.295639462338221,520.81
C,Focal Loss,0.7097192721616603,0.09131075110456553,4.302548885530839,172.91
C,Threshold Opt.,0.7023455258464447,0.08780578550832481,4.30324267972034,148.52
